"batch_number","sim","time","num","departures","departures.AIDS","nNew","num.B","arrivals.B","hiv.inf.B","hiv.incid.B","hiv.dx.B","hiv.tx.B","hiv.supp.B","prep.B","prep.incid.B","prep.indic.B","num.H","arrivals.H","hiv.inf.H","hiv.incid.H","hiv.dx.H","hiv.tx.H","hiv.supp.H","prep.H","prep.incid.H","prep.indic.H","num.W","arrivals.W","hiv.inf.W","hiv.incid.W","hiv.dx.W","hiv.tx.W","hiv.supp.W","prep.W","prep.incid.W","prep.indic.W","arrivals","hiv.inf","hiv.incid","hiv.dx","hiv.tx","hiv.supp","prep","prep.incid","prep.indic","gono.uret.inf","gono.uret.incid","gono.rect.inf","gono.rect.incid","gono.inf","gono.incid","chla.uret.inf","chla.uret.incid","chla.rect.inf","chla.rect.incid","chla.inf","chla.incid","syph.inf","syph.incid","sim_number"
1,1,156,9984,11,0,2,5114,2,1831,2,1686,1261,1256,452,9,2255,445,0,75,0,66,53,52,58,3,256,4425,0,375,0,357,303,303,884,15,2784,2,2281,2,2109,1617,1611,1394,27,5295,196,29,337,21,523,50,194,39,342,16,528,55,949,6,1
1,1,157,9984,4,0,4,5113,0,1832,1,1686,1258,1258,444,9,2253,445,0,76,1,67,54,53,60,2,256,4426,4,377,2,357,304,305,885,15,2772,4,2285,4,2110,1616,1616,1389,26,5281,196,40,333,11,520,51,192,37,337,20,521,57,950,15,1
1,1,158,9982,5,0,3,5112,2,1832,3,1684,1255,1257,445,7,2251,445,0,77,1,67,53,54,59,1,256,4425,1,377,0,357,304,304,893,17,2778,3,2286,4,2108,1612,1615,1397,25,5285,201,41,338,21,528,62,197,47,346,22,533,68,949,9,1
1,1,159,9978,6,0,2,5108,1,1834,2,1684,1255,1257,449,13,2240,445,0,77,0,67,53,53,61,3,256,4425,1,377,0,357,304,301,893,12,2782,2,2288,2,2108,1612,1611,1403,28,5278,199,37,335,18,522,55,196,36,346,14,530,50,944,9,1
1,1,160,9973,8,0,3,5108,2,1836,3,1683,1253,1253,449,5,2234,445,0,77,0,67,53,53,60,0,259,4420,1,377,0,357,304,301,894,14,2783,3,2290,3,2107,1610,1607,1403,19,5276,211,52,327,19,529,71,187,34,346,14,522,48,928,6,1
1,1,161,9975,6,0,8,5107,3,1835,0,1683,1248,1249,448,10,2237,445,1,76,0,66,53,52,61,2,257,4423,4,379,2,357,304,303,884,7,2780,8,2290,2,2106,1605,1604,1393,19,5274,211,41,320,15,522,56,193,42,349,21,531,63,919,11,1
1,1,162,9979,5,0,9,5109,6,1834,1,1682,1244,1246,452,14,2241,445,0,77,1,66,53,53,61,1,258,4425,3,379,0,357,304,303,883,15,2789,9,2290,2,2105,1601,1602,1396,30,5288,203,44,322,17,515,61,206,49,356,18,548,67,910,7,1
1,1,163,9982,1,0,4,5112,3,1835,1,1682,1241,1244,451,6,2243,445,0,77,0,66,53,53,61,0,260,4425,1,382,3,357,305,305,882,9,2789,4,2294,4,2105,1599,1602,1394,15,5292,198,40,316,13,507,53,206,41,362,21,552,62,912,12,1
1,1,164,9980,2,0,0,5111,0,1836,1,1682,1239,1242,444,10,2245,445,0,77,0,66,53,52,62,1,261,4424,0,382,0,357,306,306,885,15,2793,0,2295,1,2105,1598,1600,1391,26,5299,198,44,309,10,498,54,211,48,357,20,553,67,906,10,1
1,1,165,9976,9,0,5,5109,2,1834,0,1683,1236,1237,445,6,2246,445,0,77,0,66,53,53,63,2,259,4422,3,382,1,356,305,304,895,18,2803,5,2293,1,2105,1594,1594,1403,26,5308,202,49,315,25,507,74,207,41,367,23,559,64,903,7,1
1,1,166,9982,5,0,11,5113,6,1834,1,1682,1234,1236,443,5,2243,447,2,77,0,66,54,53,63,0,263,4422,3,382,0,356,305,304,895,13,2807,11,2293,1,2104,1593,1593,1401,18,5313,198,42,319,23,507,65,196,36,370,15,553,51,903,11,1
1,1,167,9985,3,0,6,5115,3,1835,1,1682,1226,1234,438,7,2240,449,2,77,0,66,54,53,63,1,264,4421,1,382,0,356,305,303,905,14,2809,6,2294,1,2104,1585,1590,1406,22,5313,214,47,323,22,528,68,203,45,368,22,559,67,896,7,1
1,1,168,9985,2,0,2,5115,0,1836,1,1683,1229,1231,437,13,2244,449,0,77,0,66,54,53,62,0,263,4421,2,383,1,356,304,304,905,12,2807,2,2296,2,2105,1587,1588,1404,25,5314,210,38,321,18,523,56,200,36,365,16,556,52,895,12,1
1,1,169,9991,2,0,8,5117,3,1838,2,1684,1231,1229,434,14,2249,450,1,77,0,66,54,53,61,0,262,4424,4,383,0,356,302,304,898,10,2812,8,2298,2,2106,1587,1586,1393,24,5323,189,28,327,29,505,56,205,49,374,27,568,76,887,9,1
1,1,170,9987,5,0,1,5115,1,1840,2,1687,1233,1224,434,11,2249,449,0,77,0,66,54,53,61,2,260,4423,0,383,0,356,302,303,901,13,2811,1,2300,2,2109,1589,1580,1396,26,5320,189,45,338,24,514,69,209,44,372,22,570,66,883,10,1
